likes,rating,review_text,group_type,reviewer_location,emo_vader,eval_vader,emo_eval_bucket,bert_score
1,5,"I took my family to the Holocaust Museum because none of us should ever forget what happened to the European Jews under a totalitarian regime. We only visited the children's wing this time -- because I didn't want to overwhelm our kids too much (9, 11 & 12 years old).

The exhibit was excellent. It taught our children from an experiential point of view about one child, named Daniel, who survived the Holocaust. It made a big impact on them, especially my son, who's almost 10. He's still thinking about Daniel, and mentions him from time to time.

The visit has led us, as a family, to discuss the reality of evil in general and antisemitism in particular.",NONE,,-0.2741,0.0,Mixed / Neutral,0.9997289776802063
0,3,"This is a great museum. The films are moving and strangely touching. The flow is perfect and easily moves guests through the build up and completion of the holocaust. The images are powerful and text is easily understandable. The division of topics makes this place super understandable for anyone above 12. 

However, this place is typically too crowded to navigate around crowds and enjoy any of that. The exhibits are usually blocked by too many bodies to read the wall or see the images. The films are full before they start and standing room is not even available. The halls which promote the excellent flow are choked to a halt which prevents patrons from moving forwardin the exhibits. Also not inline similarity themed museums, this museum allows small children who scream over the recordings and detract from the mood which the museum tries so hard to promote.",NONE,"Washington DC, District of Columbia",0.9682,0.9682,Emo+ / Eval+,0.8329187631607056
4,1,"The Holocaust was the ultimate horror of the twentieth century.  If you're going to have a museum of the Holocaust, with a profound message to subsequent generations then it needs to hard hitting, powerful, shocking.  This isn't, it's sanitised, it's Disney does Holocaust.  What an opportunity wasted.

Like it or not, it's the sight of the gas chambers, the emaciated skeletons, the dead bodies by the hundred that does this.  I don't expect to see kids laughing and smiling here, but that's what you get.  It's so far off the mark.  See Berlin Holocaust Museum or the Museum of the Warsaw Uprising in Warsaw for how it should be done.  What an opportunity missed!",COUPLES,"Cheltenham, United Kingdom",0.1007,0.5562,Mixed / Neutral,-0.9986666440963745
0,3,First this is a free museum but you must plan ahead.  It is more of a gallery of photos that take you through the timeline of the Holocaust.  I don't know what I was expecting but was not wowed by the material overall.  If the Holocaust is new to you or you haven't studied it much this will provide a lot of new things to you.,COUPLES,,-0.409,-0.409,Emo- / Eval-,0.9907893538475037
0,5,"What an important museum. Milder than I expected, I was worried for my young daughter to be traumatized but I prepped her before hand and she was ready. Make sure you book in advance.",FAMILY,,0.8573,0.8573,Emo+ / Eval+,0.9905807375907898
2,1,"I was highly disappointed in this museum. I am not sure why I reserved advanced tickets when there were so many people there at the same time as my family. It was extremely hot and crowded from the time we stepped off the elevator. There is no way possible that this organization is abiding by fire regulations. A significant amount of the museum was based on reading information, but with the excessive number of people, that was not possible. My husband had to take my son out because of the closeness of people and lack of space and air. The worst part about the experience was that no one of authority seemed to care. I will never suggest this museum to anyone. As a matter of fact, I will do just the opposite and suggest they find something else to spend their time with while in this great city.",FAMILY,,-0.0811,-0.0811,Emo- / Eval-,-0.999578058719635
0,5,"It's a must visit this museum! Its fantastic, very realistic!",FRIENDS,"Manchester, United Kingdom",0.6351,0.6351,Emo+ / Eval+,0.9998704195022583
0,4,"I have never seen so many people walking through a museum so quietly. Still so hard to imagine all the atrocities. There was a lot of reading required so while I did not think my 11 year old was too young, she did lose interest in reading all the exhibits.",FAMILY,"Pittsburgh, Pennsylvania",-0.1447,0.0,Mixed / Neutral,-0.9987266659736633
0,5,"This is truly a memorial that everyone should experience. Being Jewish and having friends who were in the Holocaust, it is especially moving. They did an excellent job portraying how it could happen and how it should never happen again. This is a must for every one.",FRIENDS,,0.8658,0.8658,Emo+ / Eval+,0.9998546838760376
0,4,"When your visiting this museum, please give yourself a minimum of 2 hours. The exhibits were well displayed and it really brings you to sad time in history that every generation need to pass to another.",FAMILY,"Queens, New York",0.0772,0.5267,Mixed / Neutral,0.9988106489181519
